time cpu-1-0 cpu-1-0
1 1652.30% 1774.61%
2 191.99% 179.48%
3 185.37% 182.29%
4 161.64% 191.40%
5 188.24% 175.28%
6 185.59% 192.08%
7 177.16% 180.43%
8 190.75% 193.40%
9 184.84% 180.99%
10 201.68% 184.09%
11 177.34% 165.35%
12 174.82% 183.52%
13 191.84% 191.51%
14 188.26% 186.52%
15 190.84% 172.80%
16 168.95% 197.63%
17 170.60% 181.63%
18 181.26% 152.99%
19 185.61% 193.28%
20 179.91% 166.87%
21 167.23% 181.49%
22 178.07% 180.75%
23 189.64% 177.30%
24 190.62% 188.12%
25 171.46% 182.92%
26 176.20% 175.46%
27 174.76% 180.46%
28 180.04% 192.47%
29 179.22% 185.12%
30 174.00% 189.30%
31 165.73% 176.55%
32 185.39% 185.50%
33 162.32% 188.92%
34 183.20% 173.32%
35 194.48% 195.99%
36 192.95% 191.96%
37 166.57% 171.28%
38 175.17% 186.89%
39 194.26% 192.08%
40 160.06% 183.89%
41 188.62% 161.85%
42 194.87% 193.69%
43 183.55% 187.37%
44 168.54% 189.38%
45 165.59% 185.02%
46 172.61% 175.85%
47 178.48% 197.23%
48 176.47% 178.04%
49 183.15% 174.59%
50 168.82% 181.17%
51 193.36% 183.24%
52 182.71% 173.89%
53 190.85% 188.07%
54 193.35% 191.07%
55 175.52% 176.30%
56 178.39% 167.30%
57 185.82% 179.53%
58 184.06% 167.62%
59 177.45% 178.46%
60 179.91% 176.26%
61 182.70% 192.24%
