time cpu-1-2048 cpu-1-2048 cpu-1-2048 cpu-1-2048 cpu-1-1024 cpu-1-1024 cpu-1-1024 cpu-1-1024
1 72.21% 68.97% 60.61% 58.79% 28.10% 41.43% 29.04% 28.39%
2 58.90% 47.21% 53.88% 90.89% 32.33% 30.07% 55.73% 24.27%
3 82.38% 60.80% 56.13% 76.68% 31.01% 29.62% 35.59% 20.58%
4 71.11% 73.33% 72.12% 67.23% 29.23% 25.71% 26.98% 28.37%
5 83.74% 53.86% 56.06% 79.33% 34.11% 27.34% 29.57% 27.69%
6 80.85% 58.76% 54.77% 86.69% 27.93% 31.46% 24.71% 27.53%
7 71.02% 64.41% 64.76% 64.30% 31.83% 31.51% 28.94% 30.34%
8 54.73% 55.91% 76.78% 55.67% 37.55% 34.91% 49.26% 29.65%
9 48.98% 75.28% 66.12% 71.89% 28.22% 30.56% 28.83% 42.79%
10 62.04% 72.55% 63.53% 62.57% 38.20% 32.13% 33.40% 29.67%
11 65.52% 67.53% 67.22% 64.50% 31.89% 31.77% 34.14% 31.40%
12 46.06% 61.73% 58.65% 65.59% 49.48% 27.71% 44.58% 39.89%
13 50.48% 65.65% 53.87% 88.45% 37.33% 29.36% 37.55% 31.97%
14 54.13% 73.30% 54.04% 77.67% 42.43% 27.52% 34.22% 31.36%
15 59.93% 50.51% 89.02% 64.89% 33.08% 32.60% 33.21% 31.84%
16 59.92% 62.36% 73.34% 65.15% 33.14% 32.45% 30.23% 34.23%
17 74.93% 62.00% 60.70% 72.13% 29.69% 32.72% 31.95% 29.23%
18 73.66% 54.89% 67.95% 46.19% 36.39% 40.43% 35.66% 39.55%
19 72.30% 65.48% 55.47% 70.76% 33.84% 33.37% 30.45% 31.68%
20 79.70% 68.06% 69.76% 49.64% 31.86% 31.78% 31.60% 31.33%
21 52.52% 57.01% 79.60% 66.20% 46.99% 24.79% 32.12% 35.04%
22 68.41% 62.87% 89.65% 53.16% 27.23% 41.90% 26.11% 23.88%
23 43.27% 70.42% 75.48% 75.64% 27.57% 35.53% 31.20% 35.48%
24 62.37% 69.49% 64.16% 73.46% 30.39% 30.34% 35.96% 27.63%
25 66.74% 62.94% 64.14% 61.56% 35.85% 28.92% 39.80% 32.30%
26 52.49% 74.35% 57.57% 75.34% 40.98% 27.38% 34.91% 31.59%
27 63.31% 60.01% 65.01% 83.66% 27.32% 30.62% 32.31% 28.34%
28 56.55% 59.59% 74.28% 91.79% 25.88% 28.63% 30.67% 27.15%
29 67.55% 58.24% 77.63% 52.44% 26.54% 28.41% 28.23% 54.52%
30 72.73% 62.30% 68.61% 64.80% 29.54% 33.55% 30.52% 32.12%
31 64.42% 65.59% 66.40% 66.15% 32.24% 33.22% 33.50% 33.53%
32 64.43% 66.07% 63.81% 67.14% 32.21% 31.83% 32.89% 32.50%
33 77.30% 72.76% 62.54% 61.61% 26.79% 31.27% 29.11% 31.63%
34 64.28% 65.83% 59.01% 82.86% 33.05% 29.20% 31.98% 28.02%
35 62.98% 59.29% 58.73% 56.22% 28.80% 29.90% 31.21% 67.00%
36 58.99% 51.15% 75.79% 69.34% 25.40% 30.09% 41.41% 30.93%
37 70.08% 68.12% 67.12% 85.02% 22.65% 26.86% 29.28% 23.36%
38 63.55% 72.12% 75.90% 57.97% 31.90% 30.64% 30.69% 31.03%
39 54.45% 73.68% 62.21% 74.49% 51.70% 29.93% 26.12% 21.02%
40 59.72% 56.80% 65.48% 60.61% 55.27% 32.24% 33.87% 31.16%
41 64.53% 67.31% 64.86% 66.38% 32.41% 33.68% 30.39% 32.22%
42 58.21% 61.14% 79.77% 63.38% 39.74% 23.49% 36.95% 30.63%
43 60.08% 73.04% 67.85% 66.86% 43.62% 27.92% 29.19% 25.82%
44 72.08% 64.08% 61.45% 66.45% 31.60% 32.40% 31.49% 33.98%
45 60.43% 64.06% 64.66% 65.84% 32.47% 33.15% 34.84% 39.69%
46 63.31% 61.01% 69.70% 74.28% 29.26% 30.46% 33.64% 32.98%
47 66.91% 60.96% 67.13% 73.94% 29.73% 30.49% 32.85% 32.66%
48 71.08% 61.32% 67.90% 81.28% 26.24% 23.90% 31.79% 29.91%
49 71.89% 66.66% 67.05% 57.90% 27.34% 34.01% 31.21% 32.94%
50 64.04% 66.34% 71.33% 63.92% 31.88% 32.73% 32.35% 31.93%
51 59.43% 67.58% 84.09% 63.81% 26.55% 32.30% 29.52% 32.10%
52 65.29% 65.31% 70.87% 67.75% 30.46% 31.48% 32.81% 30.28%
53 66.11% 58.83% 60.11% 75.62% 29.78% 36.90% 33.26% 33.44%
54 65.51% 50.42% 70.18% 81.26% 25.73% 37.05% 26.63% 37.15%
55 62.51% 66.21% 72.68% 63.77% 31.54% 32.69% 31.38% 31.43%
56 61.07% 71.15% 63.88% 62.22% 30.54% 29.93% 29.73% 44.22%
57 55.11% 85.27% 59.33% 46.13% 46.65% 41.91% 22.95% 27.92%
58 64.04% 69.08% 45.34% 84.62% 35.56% 36.95% 22.64% 27.98%
59 63.37% 59.48% 63.68% 68.07% 30.70% 30.67% 41.43% 34.34%
60 66.78% 57.54% 76.76% 66.61% 30.20% 33.05% 30.08% 33.10%
