cpu-1-0 cpu-1-0 cpu-1-0 cpu-1-0
91.37 90.84 91.17 88.12
99.82 99.90 99.78 99.93
99.49 98.83 99.24 99.37
98.74 98.42 99.83 99.96
99.92 100.72 98.06 98.99
99.56 99.52 98.59 100.50
100.27 99.20 99.86 99.93
99.87 99.98 99.85 99.94
96.68 99.95 99.87 99.96
101.31 99.98 99.88 99.15
99.90 99.99 99.85 99.93
99.94 99.98 99.81 99.95
99.90 99.97 99.87 99.94
99.89 99.96 99.87 99.93
99.87 99.99 99.88 99.56
99.97 100.02 99.85 99.18
99.88 99.97 99.84 99.94
99.90 100.01 99.83 99.95
99.86 99.95 99.83 99.92
99.84 99.98 99.84 99.13
99.95 99.99 99.86 99.57
99.90 99.99 99.82 99.11
99.96 100.00 99.17 99.50
99.91 100.01 99.85 100.00
99.80 99.92 98.56 99.87
99.86 100.00 99.84 99.93
99.90 99.94 99.83 99.89
99.93 100.06 99.85 100.00
98.68 99.91 99.80 99.88
101.01 99.21 99.83 99.99
99.87 99.96 99.81 99.89
99.94 100.01 99.87 99.98
99.86 99.96 99.82 99.91
99.87 99.99 99.84 99.89
99.85 99.99 99.86 99.49
99.84 99.20 99.82 99.94
99.90 99.97 99.85 98.75
99.97 100.01 99.88 100.73
99.92 99.20 99.86 99.93
99.82 99.97 99.86 99.39
99.76 100.46 100.33 100.11
99.51 99.55 99.41 99.21
99.90 99.97 99.86 99.92
99.88 99.95 99.85 99.91
99.90 100.01 99.89 99.95
98.04 100.03 99.92 100.00
99.82 98.73 99.81 99.89
99.88 99.97 99.77 99.94
99.90 99.98 99.84 99.12
99.41 99.24 99.80 99.94
96.68 95.74 99.75 98.33
99.86 99.96 99.88 99.92
99.89 98.81 99.87 99.95
99.92 99.97 99.83 99.95
99.14 100.02 99.86 99.95
100.09 99.96 99.82 99.93
99.91 99.97 99.82 99.90
99.90 99.96 99.73 99.92
99.89 99.99 99.82 99.95
99.81 99.98 96.62 99.89
100.68 100.77 100.61 100.79
99.07 99.17 98.97 99.06
99.91 99.18 99.86 99.94
99.52 100.50 99.85 99.91
99.94 100.00 99.88 99.92
99.96 100.00 99.85 99.96
99.96 100.05 98.73 100.02
99.84 100.00 99.80 99.98
99.78 99.90 99.34 99.87
99.79 99.97 99.83 99.93
99.69 99.19 99.85 99.93
99.62 99.87 99.84 99.95
100.75 100.87 99.93 100.81
99.02 99.10 98.97 98.66
99.96 99.99 99.88 100.27
99.88 99.98 99.85 99.93
99.89 99.99 99.86 99.95
99.89 99.98 99.83 99.96
99.93 100.02 99.85 99.51
100.73 100.82 100.69 99.27
98.71 99.13 99.01 98.28
99.96 99.99 99.88 100.36
99.87 99.96 99.84 99.94
99.89 100.01 99.82 99.95
99.89 100.04 99.85 100.00
99.84 99.90 99.80 98.30
99.19 100.02 99.88 101.16
99.90 99.99 99.84 99.96
99.89 99.99 99.82 99.91
99.76 99.98 99.83 99.95
98.91 99.99 99.85 99.92
100.53 99.97 99.87 98.40
99.85 99.95 99.84 99.90
99.90 99.98 99.85 99.98
94.58 99.54 99.80 99.50
97.97 97.01 99.82 97.95
99.91 99.98 99.87 99.94
99.90 99.97 99.87 99.93
99.93 100.02 99.89 99.98
100.67 100.84 100.71 100.78

