cpu-1-1024 cpu-1-512 cpu-1-256 cpu-1-128
97.93 96.63 90.94 87.77
97.67 98.14 98.37 97.80
99.81 99.88 99.13 99.80
100.10 99.97 99.88 99.86
99.60 99.98 99.16 99.86
99.96 99.95 100.05 99.83
99.96 99.99 99.91 99.82
99.95 99.99 99.92 99.47
100.40 100.30 100.35 100.16
99.46 99.66 97.77 98.48
100.28 100.30 100.28 100.26
99.53 99.61 99.55 98.05
100.70 99.51 100.68 100.62
98.51 99.23 97.31 99.07
100.23 100.30 100.24 99.98
99.58 99.68 98.08 99.54
99.95 100.01 99.41 99.89
99.68 99.96 99.94 99.78
100.45 100.29 98.99 100.16
98.22 99.68 98.38 99.29
99.03 99.99 99.77 99.86
100.76 99.94 100.03 99.80
99.93 99.99 99.32 99.87
100.49 100.57 101.04 99.89
99.40 99.44 99.94 99.15
98.87 99.82 98.97 97.86
99.89 100.11 99.86 99.99
99.98 99.65 99.03 99.76
99.80 100.09 99.33 100.00
100.07 99.78 98.96 99.33
99.85 100.20 99.22 100.07
100.06 99.78 99.74 99.71
101.13 100.70 100.52 100.63
99.08 98.14 98.43 97.95
99.58 99.68 99.56 99.60
100.00 99.99 99.89 99.92
98.80 100.00 99.89 99.91
101.20 99.99 99.88 99.90
100.10 99.99 99.88 99.91
99.99 99.97 99.53 99.88
99.91 99.96 99.88 99.90
100.03 99.99 99.88 99.90
100.56 100.70 100.56 99.89
99.40 99.28 96.14 99.12
100.00 99.99 99.88 99.92
100.00 99.95 99.44 99.92
100.00 99.99 99.86 99.90
100.03 99.99 98.05 99.92
99.97 99.76 98.34 95.22
99.15 97.70 97.79 95.63
100.42 99.93 100.07 99.83
100.35 99.07 99.46 98.78
100.36 99.64 99.91 99.92
102.22 97.37 99.87 99.90
102.24 98.13 99.90 99.89
100.39 98.42 99.66 99.90
102.51 97.50 99.89 99.85
99.81 99.51 99.84 99.77
100.28 99.69 98.12 99.82
100.62 99.35 101.50 99.82
100.35 100.03 100.08 99.78
101.21 98.38 99.68 99.58
100.45 99.54 99.85 99.80
100.45 99.47 98.42 99.83
101.13 98.86 101.22 99.85
100.00 100.00 99.28 99.85
100.01 100.00 99.89 99.80
99.97 100.00 99.35 99.82
100.71 100.80 100.13 99.00
98.86 99.20 98.94 99.12
99.99 100.00 99.89 99.83
100.17 99.34 100.09 99.99
102.22 102.80 101.68 101.01
97.90 98.00 96.61 97.86
99.28 99.20 99.19 99.14
98.71 100.00 99.89 99.85
102.70 103.62 103.44 102.24
97.28 96.38 96.37 96.25
99.99 100.11 99.89 99.79
99.98 99.89 99.84 99.78
100.01 100.00 99.93 99.83
100.25 100.40 100.18 100.02
99.68 99.70 99.64 99.53
99.98 99.90 99.77 99.68
99.99 100.00 99.90 99.80
99.99 99.99 99.92 99.81
99.99 100.00 98.69 99.83
98.15 99.99 97.42 99.75
99.99 100.00 100.93 99.85
99.99 100.08 99.84 99.85
99.99 99.92 99.88 99.78
100.00 98.40 99.78 99.85
100.00 101.70 98.58 99.83
98.37 99.89 100.96 99.66
99.99 100.00 98.08 99.76
99.95 100.00 101.51 99.63
99.86 100.00 99.89 99.87
99.95 99.98 99.96 99.93
99.95 100.00 99.95 99.92
99.93 100.00 99.96 99.95
100.00 100.00 98.98 97.71
95.65 99.66 97.53 95.30
99.59 99.91 99.89 99.84
101.08 102.00 101.74 101.75
98.08 98.00 97.96 97.94
99.96 100.00 99.88 99.87
99.99 100.11 99.89 99.82
99.99 99.89 99.87 99.83
99.99 100.00 99.89 99.84
100.06 100.11 100.62 100.52
99.58 99.61 99.40 99.38
99.60 98.87 99.59 99.53
100.00 99.99 99.89 99.84
100.00 99.59 99.86 99.85
100.87 100.96 100.85 100.81
99.13 99.01 98.89 98.88
100.00 99.93 99.87 99.86
99.99 99.99 99.88 99.84
100.00 99.99 99.87 99.81
99.60 99.98 99.85 99.81
100.40 99.99 99.89 99.29
100.09 99.99 99.90 99.83
99.91 99.96 99.88 99.81
100.03 98.38 99.81 99.81
99.56 99.99 101.31 99.81
100.40 100.06 98.49 98.42
100.00 99.92 99.94 99.80
100.00 99.99 99.82 99.79
100.00 99.97 99.88 99.84
100.40 100.34 99.74 100.16
99.73 99.64 99.96 99.47
99.87 99.98 99.87 99.84
100.04 99.59 98.28 99.85
99.96 99.97 99.80 99.85
100.00 100.02 99.88 99.86
100.06 99.94 99.90 99.87
99.93 100.04 99.89 99.85
100.00 99.94 99.86 99.85
100.00 99.99 99.87 99.82
100.00 99.99 99.90 99.84
100.00 99.92 99.89 99.81
100.00 99.99 99.88 99.83
100.00 100.03 99.91 99.84
100.05 99.94 99.13 99.82
99.94 99.98 99.53 99.80
100.00 99.99 99.61 99.85
100.00 97.98 99.45 99.83
100.00 99.99 99.89 99.80
100.13 100.02 99.82 99.02
101.07 99.88 100.16 100.55
99.20 97.43 95.88 89.70
99.59 97.68 99.29 99.52
100.80 100.67 100.58 100.52
99.99 99.98 99.83 99.81
100.00 99.99 99.89 99.13
98.00 99.28 99.17 99.16
100.00 99.99 99.75 99.85
99.99 99.98 100.09 99.85
100.00 99.94 99.70 99.83
100.00 99.99 98.96 99.86
100.00 98.40 99.44 99.83
100.00 99.99 99.87 99.86
100.00 99.62 99.91 99.85
100.10 99.99 99.81 99.90
99.89 99.98 99.88 99.89
100.00 99.98 99.87 99.84
100.20 100.00 99.98 99.86
99.88 99.99 99.44 99.40
99.93 100.00 99.90 99.86
99.57 99.19 99.07 99.83
102.80 102.69 102.51 101.37
96.40 97.27 97.23 97.17
100.00 100.00 99.86 99.88
100.00 99.98 99.83 99.88
100.00 99.98 99.85 99.84
100.39 100.31 100.21 100.19
101.20 101.17 100.79 101.05
98.79 98.79 98.71 98.34
99.60 99.68 99.58 99.55
100.00 99.30 99.89 99.82
100.02 100.00 99.89 99.85
99.97 99.98 99.35 99.85
100.06 99.92 99.86 99.85
101.54 99.91 101.36 101.36
98.44 98.48 98.38 98.36
99.94 99.98 99.89 99.88
100.00 99.98 99.88 99.84
100.00 99.99 99.89 99.85
100.05 99.19 99.86 99.84
99.95 99.99 99.86 99.85
100.39 100.30 100.20 99.85
99.64 99.67 99.60 99.55
99.96 100.00 99.86 99.85
100.00 99.88 99.87 99.88
100.00 99.93 99.93 99.92
99.09 98.10 96.92 96.65
99.12 99.94 99.53 99.92
100.80 99.95 99.92 99.93
100.00 99.95 99.95 99.93
100.05 99.95 99.96 99.92

